abs_action_x,abs_action_y,curr_vel_x,curr_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,action_x,action_y,time_action,time_step
1.3452727895906424,0.527919670255629,0.41,-0.06,0.55,-0.03,-0.06,0.4,2.76,0.31,-0.15,0.9399999976158142,0.5899999737739563,0.03477931022644043,0.1
1.378631241574614,-0.3314264377540183,0.44,0.14,0.55,-0.03,-0.06,0.4,2.8,0.31,0.31,0.9399999976158142,-0.4699999988079071,0.0018215179443359375,0.1
1.3570793489025457,0.49055495365269125,0.42,-0.05,0.55,-0.03,-0.06,0.4,2.84,0.32,-0.12,0.9399999976158142,0.5400000214576721,0.008445978164672852,0.1
1.3873850234474867,-0.3828563155372322,0.47,0.15,0.55,-0.03,-0.06,0.4,2.89,0.32,0.31,0.9200000166893005,-0.5299999713897705,0.0019867420196533203,0.1
1.3452727895906424,0.4879197084026017,0.41,-0.06,0.55,-0.04,-0.06,0.4,2.93,0.32,-0.15,0.9399999976158142,0.550000011920929,0.0016467571258544922,0.1
1.3907757844551143,-0.34695417009818164,0.45,0.13,0.55,-0.04,-0.07,0.4,2.98,0.33,0.29,0.9399999976158142,-0.47999998927116394,0.04585099220275879,0.1
1.355912040937108,0.48084818735670826,0.43,-0.06,0.55,-0.04,-0.07,0.4,3.02,0.33,-0.14,0.9300000071525574,0.5400000214576721,0.02326798439025879,0.1
1.3899570673986519,-0.38274291287619255,0.46,0.14,0.55,-0.04,-0.07,0.4,3.07,0.33,0.29,0.9300000071525574,-0.5199999809265137,0.029845476150512695,0.1
1.354702162951491,0.5235009958427055,0.41,-0.07,0.55,-0.04,-0.07,0.4,3.11,0.34,-0.16,0.9399999976158142,0.5899999737739563,0.025619029998779297,0.1
1.379318623613811,-0.3736213086569271,0.44,0.14,0.55,-0.04,-0.07,0.4,3.16,0.34,0.3,0.9399999976158142,-0.5099999904632568,0.06072592735290527,0.1
1.3455178679645134,0.4895412918893606,0.41,-0.06,0.55,-0.04,-0.07,0.4,3.2,0.34,-0.15,0.9399999976158142,0.550000011920929,0.10603165626525879,0.1
1.3903746191067818,-0.3456024434718912,0.45,0.13,0.55,-0.04,-0.07,0.4,3.24,0.35,0.29,0.9399999976158142,-0.47999998927116394,0.02440786361694336,0.1
1.356029492702657,0.48170012916002347,0.43,-0.06,0.55,-0.04,-0.07,0.4,3.28,0.35,-0.14,0.9300000071525574,0.5400000214576721,0.10538029670715332,0.1
1.3896816335317468,-0.38182327388302095,0.46,0.14,0.55,-0.04,-0.08,0.4,3.33,0.35,0.29,0.9300000071525574,-0.5199999809265137,0.12535333633422852,0.1
1.354834331414634,0.5243305326183523,0.41,-0.07,0.55,-0.04,-0.08,0.4,3.37,0.36,-0.16,0.9399999976158142,0.5899999737739563,0.017087697982788086,0.1
1.3791820252954399,-0.3731820582934841,0.44,0.14,0.55,-0.04,-0.08,0.4,3.42,0.36,0.3,0.9399999976158142,-0.5099999904632568,0.015192270278930664,0.1
1.3455781239155502,0.48994683992148047,0.41,-0.06,0.55,-0.04,-0.08,0.4,3.46,0.36,-0.15,0.9399999976158142,0.550000011920929,0.1213080883026123,0.1
1.3903746191067818,-0.3456024434718912,0.45,0.13,0.55,-0.04,-0.08,0.4,3.51,0.37,0.29,0.9399999976158142,-0.47999998927116394,0.08515453338623047,0.1
1.356029492702657,0.44170010770235135,0.43,-0.06,0.55,-0.05,-0.08,0.4,3.55,0.37,-0.14,0.9300000071525574,0.5,0.0356597900390625,0.1
