robot_id,cmd_vel_omni_x,cmd_vel_omni_y,cmd_vel_linear_x,cmd_vel_angular_z,cur_vel_x_init,cur_vel_y_init,cur_vel_linear_x_init,cur_vel_angular_z_init,time_stamp_init,cur_vel_x_final,cur_vel_y_final,cur_vel_linear_x_final,cur_vel_angular_z_final,time_stamp_final
0.0,2.0673900000946346,-0.01844866388778986,2.0648805912675767,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,20.511451244354248,1.497390007247192,-0.08844866418581308,1.5,0.0,20.520751237869263
0.0,2.0673900000946346,0.011551337304303036,2.0631116179135676,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,20.976223468780518,1.497390007247192,-0.08844866418581308,1.5,0.0,20.98183846473694
0.0,2.0673900000946346,0.011551337304303036,2.0631116179135676,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,21.400274991989136,1.497390007247192,-0.08844866418581308,1.5,0.0,21.40534019470215
0.0,2.0673900000946346,0.051551336410233364,2.060752986921332,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,21.976314306259155,1.4874074071988772,-0.08785900642457432,1.49,0.0,21.98121976852417
0.0,2.05740740004632,0.09214100072798305,2.0483943554897674,0.5187754964175164,1.4874074071988772,-0.08785900642457432,1.49,0.0,22.470199584960938,1.489999255000062,0.001489999751666701,1.49,0.6,22.475476026535034
0.0,2.0699992383107615,-0.07850999846019395,2.0699196933258532,0.0,1.489999255000062,0.001489999751666701,1.49,0.6,22.932734966278076,1.4999992500000625,0.0014999997500000346,1.5,0.0,22.938519716262817
0.0,2.059999252384248,-0.08850000382627865,2.0599097223956315,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,23.387441396713257,1.4999992500000625,0.0014999997500000346,1.5,0.0,23.392622470855713
0.0,2.059999252384248,-0.048500000995058024,2.0599497223917957,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,23.860085010528564,1.4999992500000625,0.0014999997500000346,1.5,0.0,23.865209579467773
0.0,2.059999252384248,-0.018499999802965128,2.059979722387988,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,24.301057815551758,1.4999992500000625,0.0014999997500000346,1.5,0.0,24.30612063407898
0.0,2.059999252384248,-0.018499999802965128,2.059979722387988,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,24.78718662261963,1.4999992500000625,0.0014999997500000346,1.5,0.0,24.792422771453857
0.0,2.0499992619209912,0.0214999993029652,2.0500197369171653,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,25.204978227615356,1.4999992500000625,0.0014999997500000346,1.5,0.0,25.210057258605957
0.0,2.0499992619209912,0.051500000495058096,2.0500497369133575,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,25.64360547065735,1.4999992500000625,0.0014999997500000346,1.5,0.0,25.648632526397705
0.0,2.0499992619209912,0.09150000332627872,2.050089736909522,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,26.14493751525879,1.4999992500000625,0.0014999997500000346,1.5,0.0,26.149911165237427
0.0,2.0399992714577344,0.16149999617372135,2.0401597514274408,0.0,1.4999992500000625,0.0014999997500000346,1.5,0.0,26.609310388565063,1.4978135313893466,0.08096063973916436,1.5,0.53,26.61479616165161
