robot_id,action_x,action_y,action_linear_x,action_angular_z,cur_vel_x_init,cur_vel_y_init,cur_vel_linear_x_init,cur_vel_angular_z_init,time_stamp_init,cur_vel_x_final,cur_vel_y_final,cur_vel_linear_x_final,cur_vel_angular_z_final,time_stamp_final
1.0,-2.76622647785911,-0.06750809993028704,2.756825707513307,0.0,-1.9862265064693398,0.12249189768552717,1.99,0.0,38.34803891181946,1.9868804953583905,-0.11138176315895337,1.99,0.55,38.34870982170105
1.0,-2.176226504085154,0.5124918833804124,2.2036456632355454,-0.8484448439064041,-1.9862265064693398,0.12249189768552717,1.99,0.0,40.2941677570343,2.006849143552947,-0.11250117786406848,2.01,0.0,40.29483199119568
1.0,-2.2251617385037203,0.6465855428835066,2.2987728124721145,-0.630994405626919,-2.0051617396958132,0.3165855297704847,2.03,-0.95,42.51676273345947,2.006849143552947,-0.11250117786406848,2.01,0.0,42.51819157600403
1.0,-2.4430269323571587,0.7534893879664251,2.5512564555821666,0.0,-2.0230269454701806,0.48348937723758895,2.08,-0.78,44.07536172866821,2.004714208598721,-0.31940717249680567,2.03,-1.02,44.076021671295166
1.0,-2.7468157247947285,0.7716254025621034,2.85233545869619,0.0,-2.026815696184499,0.621625396601639,2.12,-0.63,45.718897342681885,2.0168961062630024,-0.4658648908655159,2.07,-0.69,45.71953845024109
1.0,-2.8659365918261352,0.7074897853474773,2.947414569335355,0.0,-2.0459365989786926,0.6274897871356167,2.14,0.0,47.76284050941467,2.0461264846146405,-0.47261655595052343,2.1,0.0,47.76349472999573
1.0,-2.8668156699584553,0.4416253894490816,2.8702983753797717,0.7237338791409154,-2.026815696184499,0.621625396601639,2.12,0.0,49.54532170295715,2.0168961062630024,-0.4658648908655159,2.07,0.0,49.54602003097534
1.0,-2.8203320897760973,0.1981678285052636,2.754471463678912,1.1372196947563928,-1.9503320850077255,0.5981678344657281,2.04,0.0,53.03860902786255,1.9711695338191215,-0.338364698133992,2.0,0.57,53.04129123687744
1.0,-2.801280056149894,0.008660992180002713,2.747930193171495,0.9775043270199468,-1.9312800513815223,0.38866098741163113,1.97,0.99,54.047210693359375,1.9633805703344172,-0.1613590283600479,1.97,0.88,54.047775983810425
1.0,-2.6998940505845406,-0.45122072297760246,2.640211238831797,1.335937893977377,-1.9498940505845406,0.19877925318053963,1.96,0.97,57.907142162323,1.9439181890357928,0.15388981231973717,1.95,1.61,57.90852189064026
